,Veloc,Acele,Des_x,Des_y,Des_z,Presn,VelPr,AcePr,F5EEX,F6EES,F8EIX,F7EIS,F9EEX,F10ES,F11EX,F12ES,F13EV,F14EV,F17MS,F18MX,F15MS,F16MX,F19MH,F20MH,F1EBX,F2EBS,F4EBX,F3EBS,01_C,02_A,03_D,04_M
4012,0.41548214,0.14968489,0.46863436,0.44618239,0.09063759,0.5,0.0,0.0,0.49361002,0.58935262,0.47949619,0.45755683,0.45980188,0.54938697,0.50296608,0.51994337,0.51628509,0.48756037,0.31643041,0.47909145,0.30199789,0.4546994,0.41006608,0.43763177,0.53653161,0.51807744,0.54558228,0.3356598,1,-1,-1,-1
4013,0.39389731,0.2639731,0.4474351,0.41969432,0.09375976,0.5,0.0,0.0,0.49146068,0.59460285,0.48626001,0.45963088,0.45679865,0.54850085,0.50027423,0.5245316,0.53321689,0.49097992,0.32131212,0.47433377,0.32192136,0.43055239,0.40651171,0.44999534,0.56379969,0.5215122,0.53581918,0.35416715,1,-1,-1,-1
4014,0.31817335,0.29054897,0.35293858,0.38557236,0.08437635,0.5,0.0,0.0,0.50463976,0.62173665,0.50601746,0.47933441,0.47427727,0.56705499,0.51591033,0.53918445,0.53063496,0.48322688,0.33291778,0.47331195,0.34894358,0.42857618,0.41681439,0.45572592,0.57817602,0.53395189,0.52805051,0.36763971,1,-1,-1,-1
4015,0.34598592,0.35766141,0.36026577,0.46420733,0.09328606,0.5,0.0,0.0,0.45474652,0.61182534,0.48386814,0.46570723,0.4456529,0.55627365,0.48821758,0.53058919,0.49413078,0.45940784,0.36784885,0.43757185,0.38470342,0.38363394,0.41968277,0.44899759,0.56883483,0.55432202,0.53619141,0.37800978,1,-1,-1,-1
4016,0.3302232,0.38755421,0.35099791,0.42757715,0.07787244,0.5,0.0,0.0,0.44490255,0.61265541,0.4709206,0.452036,0.42894133,0.55418438,0.48211483,0.52086987,0.49749569,0.4592501,0.38915683,0.43929292,0.40455182,0.37995686,0.4238219,0.47399046,0.52814144,0.57741715,0.5502269,0.38567515,1,-1,-1,-1
4017,0.29501662,0.30994288,0.2967425,0.3644824,0.11882934,0.5,0.0,0.0,0.42410483,0.58358832,0.43171444,0.40814769,0.3984082,0.51694009,0.44675564,0.49702584,0.49593294,0.46350095,0.40985155,0.43921405,0.42861743,0.37469454,0.42915739,0.49470781,0.52206683,0.56673187,0.55907231,0.38574674,1,-1,-1,-1
4018,0.150914,0.1918715,0.1720548,0.11494997,0.15837453,0.5,0.0,0.0,0.37708943,0.51573776,0.35489783,0.33245408,0.34766467,0.45776769,0.37145425,0.42505354,0.45329002,0.4147545,0.40224701,0.43197547,0.4011992,0.41441702,0.40485236,0.53719603,0.51553527,0.50902729,0.52229664,0.32579413,1,-1,-1,-1
4019,0.12750198,0.17038693,0.12838404,0.10130472,0.16288603,0.5,0.0,0.0,0.40728856,0.50746986,0.36020385,0.3355087,0.38389285,0.43450601,0.37055549,0.43626441,0.46605164,0.44945639,0.4064108,0.40733897,0.40660334,0.3969169,0.38877081,0.55395436,0.54832842,0.46916266,0.49589658,0.31214504,1,-1,-1,-1
4020,0.16893498,0.10708614,0.14898802,0.15747373,0.19859588,0.5,0.0,0.0,0.38737252,0.49835537,0.33542852,0.31290646,0.36635608,0.41873417,0.35318447,0.42922448,0.4637431,0.45949247,0.41475548,0.39878786,0.40782275,0.40605915,0.38608543,0.56909529,0.53524784,0.46828117,0.50667787,0.31105546,1,-1,-1,-1
4021,0.09237856,0.06773458,0.08305034,0.05144364,0.17496081,0.5,0.0,0.0,0.3898874,0.49998426,0.33768503,0.31644796,0.3733018,0.41147913,0.36307029,0.44165065,0.47673005,0.47709016,0.43673237,0.42235331,0.42704905,0.42031179,0.40425415,0.58729132,0.53354645,0.45082816,0.52038309,0.31509812,1,-1,-1,-1
4022,0.08524667,0.0563869,0.07103995,0.05907874,0.18344417,0.5,0.0,0.0,0.3894827,0.50414344,0.33591592,0.31801068,0.37850987,0.41561532,0.36590698,0.45069689,0.4785598,0.48152859,0.45418085,0.43273515,0.43532183,0.41738815,0.4116851,0.59625452,0.53865382,0.43641252,0.52383296,0.32315909,1,-1,-1,-1
4023,0.08768304,0.0686142,0.09583876,0.05958367,0.14440491,0.5,0.0,0.0,0.38765289,0.50632094,0.33169482,0.31477995,0.38007183,0.41823727,0.36304391,0.45225055,0.47709442,0.48103925,0.46820812,0.43407968,0.44287159,0.40797565,0.41692427,0.5958679,0.53873627,0.42794588,0.52933567,0.32885815,1,-1,-1,-1
4024,0.08375611,0.07113889,0.1128416,0.08862878,0.11285475,0.5,0.0,0.0,0.39477191,0.53926263,0.35913118,0.34494391,0.39937928,0.4572732,0.38908087,0.48714502,0.48393023,0.48657959,0.4745718,0.45073925,0.44251852,0.42827254,0.42969331,0.59762009,0.54189698,0.41460541,0.53658737,0.33697687,1,-1,-1,-1
4025,0.11137071,0.06101272,0.16740129,0.08897873,0.1068317,0.5,0.0,0.0,0.4160213,0.57058594,0.40577951,0.38806714,0.42216556,0.4791451,0.44088337,0.53445722,0.52709711,0.53547706,0.50634394,0.44740053,0.48147747,0.37248234,0.45481788,0.56182138,0.52339721,0.45845165,0.57301437,0.38610037,1,-1,-1,-1
4026,0.17565812,0.07350003,0.12756709,0.28655924,0.08622034,0.5,0.0,0.0,0.28469314,0.45171983,0.30060149,0.28314944,0.29785705,0.37670021,0.3240366,0.40084084,0.45472711,0.42005638,0.43032522,0.30169715,0.4311082,0.31729821,0.39729349,0.43544219,0.5418009,0.46418674,0.5860544,0.36069298,1,-1,-1,-1
4027,0.14479044,0.08765327,0.17155742,0.19955449,0.07541661,0.5,0.0,0.0,0.30925165,0.4981174,0.3272104,0.30665504,0.32414521,0.41103515,0.33844346,0.40906023,0.47194359,0.44124638,0.42042505,0.30895395,0.43756843,0.33997719,0.40781859,0.41802516,0.5784951,0.42712849,0.567485,0.35884209,1,-1,-1,-1
4028,0.14901458,0.09842744,0.17397498,0.20364557,0.091942,0.5,0.0,0.0,0.32143543,0.52710575,0.34104954,0.31956939,0.33446333,0.430158,0.34320286,0.42641221,0.47449129,0.44462121,0.40210173,0.30186201,0.43773135,0.34625258,0.40599816,0.39357452,0.61843625,0.39531015,0.53340274,0.34192325,1,-1,-1,-1
4029,0.22282099,0.13858852,0.30931712,0.16176403,0.07317246,0.5,0.0,0.0,0.30775912,0.53026793,0.3540845,0.33327646,0.32109282,0.42641576,0.3490222,0.41551907,0.47050581,0.44527319,0.38751188,0.31199501,0.42682326,0.38030877,0.41180013,0.37783467,0.65001826,0.3679969,0.49872662,0.31955547,1,-1,-1,-1
4030,0.23768671,0.21889735,0.34606421,0.13769478,0.04122154,0.5,0.0,0.0,0.30711915,0.52242413,0.32736809,0.3064171,0.31411749,0.41413012,0.3251122,0.38601041,0.46051186,0.43666743,0.37667953,0.3107136,0.4215434,0.40308518,0.41459132,0.36297715,0.66331376,0.35101804,0.46479905,0.29295859,1,-1,-1,-1
4031,0.27373325,0.22143408,0.35674025,0.20075231,0.0389847,0.5,0.0,0.0,0.2832133,0.51426961,0.31821504,0.30023999,0.29736286,0.39967919,0.30685149,0.38233608,0.43032334,0.41228765,0.38695593,0.32822267,0.4370513,0.44291762,0.44244989,0.34810386,0.67161906,0.31664193,0.44818673,0.27389138,1,-1,-1,-1
4032,0.35795905,0.21138921,0.44279533,0.28916325,0.03933462,0.5,0.0,0.0,0.27130802,0.50689003,0.30685592,0.29011671,0.27952438,0.39407339,0.28863285,0.37451324,0.40842759,0.39319496,0.39609986,0.35198783,0.45334797,0.46959949,0.46943473,0.3317074,0.68079851,0.3342425,0.41466137,0.26903315,-1,-1,-1,-1
4033,0.37114962,0.23135246,0.43658645,0.33095509,0.03924174,0.52380952,0.11111111,0.14285714,0.27224233,0.50660056,0.32526494,0.30665695,0.28259391,0.39873116,0.29955508,0.38823616,0.40368403,0.38481292,0.41115431,0.39034698,0.47116449,0.50863126,0.50420956,0.32748918,0.63576959,0.33991714,0.45125762,0.27073024,-1,-1,-1,-1
4034,0.39770942,0.18877077,0.47120698,0.34752043,0.02286989,0.52380952,0.22222222,0.14285714,0.26278827,0.47615896,0.31498164,0.29539052,0.27710222,0.3737287,0.28429562,0.37676037,0.40164051,0.37961982,0.40467553,0.39284138,0.45475849,0.49128854,0.49670462,0.32312681,0.61478335,0.36479649,0.45273478,0.27612656,-1,-1,-1,-1
4035,0.29029614,0.15072803,0.30791479,0.34201492,0.03501357,0.52380952,0.22222222,0.28571429,0.27852295,0.49174937,0.31948836,0.30181468,0.29729287,0.39634073,0.29146008,0.39062608,0.40114597,0.39505632,0.42050134,0.41536074,0.46306365,0.4974138,0.51572364,0.32430065,0.60512858,0.38830436,0.45934704,0.29985384,-1,-1,-1,-1
4036,0.31810038,0.15828728,0.30485941,0.43709868,0.05295593,0.52380952,0.22222222,0.28571429,0.28683639,0.50829467,0.33381994,0.32040487,0.31264594,0.42394338,0.30630779,0.41334671,0.39007486,0.39698451,0.43799902,0.42222145,0.47188634,0.48573485,0.52571839,0.32509558,0.60412243,0.39843602,0.46684208,0.33091527,-1,-1,-1,-1
4037,0.28896296,0.16406757,0.28764547,0.39195412,0.04976461,0.52380952,0.22222222,0.28571429,0.35547743,0.55802451,0.4141063,0.403923,0.39655814,0.48345569,0.37968764,0.50492823,0.40120844,0.41856255,0.4525813,0.45279601,0.47018528,0.50569265,0.54600881,0.32899697,0.60884655,0.40070434,0.49627279,0.37015595,-1,-1,-1,-1
4038,0.26277942,0.14544492,0.23549344,0.39559425,0.05441935,0.52380952,0.22222222,0.14285714,0.392106,0.59422421,0.44664221,0.43725546,0.43376317,0.52889341,0.41287261,0.53744483,0.41571992,0.44249844,0.45130155,0.48197867,0.46163363,0.50786919,0.55485748,0.32596359,0.60935167,0.42532003,0.50079087,0.39792625,-1,1,-1,-1
4039,0.26980216,0.12119997,0.23281458,0.41098588,0.06050918,0.54761905,0.22222222,0.28571429,0.42173896,0.61569543,0.47471699,0.46741731,0.46559061,0.55183321,0.44155331,0.55923988,0.42446849,0.44988214,0.48206601,0.51082692,0.48583235,0.52929751,0.58914417,0.32410775,0.59621322,0.44023753,0.51465752,0.41122898,-1,1,-1,-1
4040,0.19973826,0.10978662,0.14353916,0.38724949,0.04943311,0.52380952,0.22222222,0.14285714,0.43604688,0.61290554,0.47214751,0.46964002,0.48061854,0.54784082,0.44457597,0.56977911,0.41983824,0.44775786,0.52287687,0.54129179,0.51338674,0.55095028,0.63235121,0.30120114,0.61353029,0.46650135,0.48955506,0.42287174,-1,1,-1,-1
